"10540: Registrerte arbeidsledige (prosent), etter alder, måned, statistikkvariabel og region"

"alder";"måned";"statistikkvariabel";"1101 Eigersund";"1102 Sandnes (-2019)";"1103 Stavanger";"1106 Haugesund";"1111 Sokndal";"1112 Lund";"1114 Bjerkreim";"1119 Hå";"1120 Klepp";"1121 Time";"1122 Gjesdal";"1124 Sola";"1127 Randaberg";"1129 Forsand (-2019)";"1130 Strand";"1133 Hjelmeland";"1134 Suldal";"1135 Sauda";"1141 Finnøy (-2019)";"1142 Rennesøy (-2019)";"1144 Kvitsøy";"1145 Bokn";"1146 Tysvær";"1149 Karmøy";"1151 Utsira";"1154 Vindafjord (1965-2005)";"1199 Uoppgitt kommune Rogaland"
"15-74 år";"1999M01";"Registrert helt arbeidsledige";1.5;2.2;2.6;2.5;2.7;1.0;0.8;1.0;1.3;1.3;1.3;1.7;1.1;1.7;1.6;1.0;1.9;4.4;0.8;1.2;1.5;0.2;1.5;2.7;0.0;1.4;.
"15-74 år";"1999M02";"Registrert helt arbeidsledige";1.5;2.2;2.5;2.6;2.2;1.2;1.4;0.9;1.3;1.3;1.2;1.6;1.0;1.3;1.8;1.0;1.4;3.7;0.8;0.9;0.4;0.9;1.5;2.5;4.4;1.0;.
"15-74 år";"1999M03";"Registrert helt arbeidsledige";1.3;2.2;2.6;2.4;2.6;0.8;0.8;1.0;1.0;1.3;1.2;1.7;1.1;1.5;1.6;1.2;1.3;4.0;0.8;1.1;1.5;0.2;1.3;2.5;0.0;0.9;.
"15-74 år";"1999M04";"Registrert helt arbeidsledige";1.8;2.1;2.5;2.5;2.1;0.8;1.1;0.9;1.2;1.2;1.0;1.7;1.1;1.5;1.8;1.0;1.1;3.5;0.6;1.2;1.5;0.9;1.3;2.4;0.0;0.9;.
"15-74 år";"1999M05";"Registrert helt arbeidsledige";1.3;2.0;2.3;2.2;1.6;0.8;0.7;0.8;1.1;1.0;1.4;1.5;1.0;0.8;1.4;0.6;0.9;2.7;0.3;0.8;0.8;0.7;1.0;2.0;3.5;0.8;.
"15-74 år";"1999M06";"Registrert helt arbeidsledige";1.4;2.3;2.6;2.6;2.0;0.9;0.8;0.9;1.2;1.3;1.4;1.8;1.1;1.0;1.5;0.6;1.1;4.1;0.4;0.7;1.1;0.7;1.3;2.4;0.0;1.3;.
"15-74 år";"1999M07";"Registrert helt arbeidsledige";2.0;2.7;3.0;3.2;2.3;1.6;0.8;1.0;1.5;1.6;1.4;2.1;1.3;0.8;2.5;1.2;1.1;3.3;0.3;1.2;1.1;0.9;1.9;3.0;5.3;1.1;.
"15-74 år";"1999M08";"Registrert helt arbeidsledige";2.4;2.7;3.2;3.9;2.4;1.3;0.9;1.2;1.3;1.6;1.5;2.1;1.5;1.0;2.2;1.1;0.8;3.3;0.4;1.3;2.6;1.4;1.9;3.2;0.0;1.4;.
"15-74 år";"1999M09";"Registrert helt arbeidsledige";1.9;2.4;2.9;4.0;1.9;0.9;1.0;1.1;1.2;1.3;1.7;2.1;1.6;1.1;2.1;1.0;1.3;3.2;0.6;0.9;2.3;0.9;1.8;3.4;1.8;1.2;.
"15-74 år";"1999M10";"Registrert helt arbeidsledige";1.6;2.4;3.0;4.1;2.0;0.8;0.4;1.2;1.3;1.3;1.5;2.0;1.5;1.3;2.4;0.9;1.5;4.0;0.8;0.8;1.9;2.4;1.8;3.4;0.0;1.4;.
